Company,Industry,Contact Name,Title,LinkedIn,Email,Pain Signal,Priority,Notes
Baltic Workboats,Shipyard/Fabrication,Project Manager,PM,,,Job costing + time tracking for custom builds,High,Custom vessel builds - proven case study fit
Metalcraft OÜ,Metal Fabrication,Owner,Founder,,,Job time tracking + accurate pricing,High,Custom metalwork - pricing pain point
Stalmex,Steel Fabrication,Production Manager,Manager,,,Production scheduling + capacity planning,High,Mid-size shop with growth potential
Vabrik,Industrial Fabrication,Operations,Manager,,,Project visibility + resource allocation,High,Multiple concurrent projects
Composite OÜ,Composites Fabrication,Technical Lead,Lead Engineer,,,Material waste tracking + job costing,Medium,Specialty materials require precision
Maru Metall,Metal Structures,Project Lead,PM,,,Custom steel structure quoting,High,Complex engineering + pricing
Ideaalmeister,Handyman Services,Owner,Founder,,,Time tracking for accurate invoicing,High,Multi-trade service provider
Remondimees OÜ,Renovation,Operations,Manager,,,Job scheduling + labor cost tracking,High,Growing renovation business
ProHandy,Maintenance Services,Dispatcher,Coordinator,,,Technician scheduling + job tracking,High,Multi-location service calls
SmartFix,Appliance Repair,Owner,Founder,,,Appointment booking + labor time tracking,Medium,Service business model
Timbeco,Timber Construction,Sales Director,Director,,,Project labor estimation + tracking,Medium,Standardized + custom timber projects
Egger Timber,Sawmill/Production,Production Manager,Manager,,,Production planning + labor allocation,Medium,B2B focus - efficiency gains
Kodumaja24,Construction,Sales Lead,Manager,,,Labor estimation for custom builds,Medium,Online presence - tech-friendly
Toolid24,Furniture Manufacturing,Operations,Manager,,,Production time tracking + costing,Medium,Custom furniture builds
